time,flux,flux0,scanD,orbit,weights
58313.951978087425,670740967.811,24527.05132285308,1.0,10.0,0.0
58466.879975795746,671551855.69,24556.703140141388,0.0,10.0,0.0
58620.67198008299,670824338.488,24530.099946646365,1.0,10.0,0.0
58773.59997779131,671633424.592,24559.685878250006,0.0,10.0,0.0
58926.52797549963,670965766.653,24535.271564346673,1.0,10.0,0.0
59079.456013441086,671759944.132,24564.312330785106,0.0,10.0,0.0
62214.047983288765,676715500.188,24745.52263931219,1.0,11.0,1.0
62366.975980997086,677772515.899,24784.174637381384,0.0,11.0,1.0
62519.903978705406,677071179.15,24758.52878710111,1.0,11.0,1.0
62672.83197641373,677983478.78,24791.88893792037,0.0,11.0,1.0
62826.62398070097,677313746.777,24767.39878151357,1.0,11.0,1.0
62979.55197840929,678180327.046,24799.087107936364,0.0,11.0,1.0
63132.47997611761,677466226.599,24772.97452624868,1.0,11.0,1.0
63285.40801405907,678241672.403,24801.330329674358,0.0,11.0,1.0
63438.33601176739,677495500.213,24774.044977387704,1.0,11.0,1.0
63591.26400947571,678333904.202,24804.7029789924,0.0,11.0,1.0
63744.19200718403,677559415.735,24776.382182603505,1.0,11.0,1.0
63897.12000489235,678387656.246,24806.668535302764,0.0,11.0,1.0
64050.04800260067,677626127.435,24778.821635936845,1.0,11.0,1.0
64202.97600030899,678421618.019,24807.910418815714,0.0,11.0,1.0
64355.90399801731,677716571.115,24782.12889893053,1.0,11.0,1.0
64508.83199572563,678485799.267,24810.257340860444,0.0,11.0,1.0
64662.624000012875,677722969.534,24782.362870551067,1.0,11.0,1.0
64815.551997721195,678470933.345,24809.713737220063,0.0,11.0,1.0
67951.00801438093,676767591.435,24747.427465094355,1.0,12.0,1.0
68103.93601208925,677936730.215,24790.17947851942,0.0,12.0,1.0
68256.86400979757,677255054.222,24765.252565048737,1.0,12.0,1.0
68410.65601408482,678129058.221,24797.21235574083,0.0,12.0,1.0
68563.58401179314,677490737.901,24773.87083345369,1.0,12.0,1.0
68716.51200950146,678375769.459,24806.233869986634,0.0,12.0,1.0
68869.44000720978,677589957.533,24777.499007552313,1.0,12.0,1.0
69022.3680049181,678469262.951,24809.65265575742,0.0,12.0,1.0
69175.29600262642,677704637.262,24781.692512547324,1.0,12.0,1.0
69328.22400033474,678556961.056,24812.859521038474,0.0,12.0,1.0
69481.15199804306,677783549.678,24784.57811066959,1.0,12.0,1.0
69634.07999575138,678564872.407,24813.148816193116,0.0,12.0,1.0
69787.0079934597,677854038.573,24787.15568506615,1.0,12.0,1.0
69939.93599116802,678606727.653,24814.679341114123,0.0,12.0,1.0
70092.86398887634,677885111.892,24788.291946195946,1.0,12.0,1.0
70246.65599316359,678703259.874,24818.209244388858,0.0,12.0,1.0
70399.5839908719,677928802.213,24789.889574486013,1.0,12.0,1.0
70552.51198858023,678726000.222,24819.04079294376,0.0,12.0,1.0
75718.36797595024,676534797.183,24738.914854652347,1.0,13.0,1.0
75871.2960138917,677854127.431,24787.15893434543,0.0,13.0,1.0
76024.22401160002,677298727.77,24766.84957999885,1.0,13.0,1.0
76177.15200930834,678302383.761,24803.550367908207,0.0,13.0,1.0
76330.08000701666,677559843.058,24776.39780856592,1.0,13.0,1.0
76483.00800472498,678497181.603,24810.673559866955,0.0,13.0,1.0
79853.47200036049,676798417.747,24748.554693894745,1.0,14.0,1.0
80006.39999806881,678084335.608,24795.576979527086,0.0,14.0,1.0
80159.32799577713,677438791.441,24771.971302112073,1.0,14.0,1.0
80312.25599348545,678360271.244,24805.66714522557,0.0,14.0,1.0
80465.18399119377,677678184.431,24780.725209259308,1.0,14.0,1.0
80618.11198890209,678537843.56,24812.160449671046,0.0,14.0,1.0
80771.03998661041,677848920.587,24786.968535165797,1.0,14.0,1.0
80923.96798431873,678666385.051,24816.860839088382,0.0,14.0,1.0
81076.89598202705,677988320.427,24792.065982905176,1.0,14.0,1.0
81229.82397973537,678752023.406,24819.992385287427,0.0,14.0,1.0
81383.61598402262,678107882.173,24796.438009098776,1.0,14.0,1.0
81536.54398173094,678872438.999,24824.39563418874,0.0,14.0,1.0
81689.47197943926,678083517.397,24795.5470599245,1.0,14.0,1.0
81842.39997714758,678941593.394,24826.924409791794,0.0,14.0,1.0
81995.32801508904,678151943.69,24798.049210949695,1.0,14.0,1.0
82148.25601279736,678968969.455,24827.925472922554,0.0,14.0,1.0
82301.18401050568,678222188.828,24800.617871859922,1.0,14.0,1.0
82454.112008214,679047204.0,24830.7862832689,0.0,14.0,1.0
85672.51201272011,677172294.12,24762.226268211878,1.0,15.0,1.0
85825.44001042843,678340044.393,24804.927507964116,0.0,15.0,1.0
85978.36800813675,677701275.35,24781.569577178645,1.0,15.0,1.0
86131.29600584507,678611037.981,24814.836957304495,0.0,15.0,1.0
86284.22400355339,677953594.493,24790.796156241344,1.0,15.0,1.0
86437.15200126171,678740629.204,24819.57573237572,0.0,15.0,1.0
86590.07999897003,678008080.32,24792.788544867253,1.0,15.0,1.0
86743.00799667835,678878288.568,24824.60953595703,0.0,15.0,1.0
86895.93599438667,678142408.491,24797.700536384596,1.0,15.0,1.0
87048.863992095,678885149.084,24824.86040512428,0.0,15.0,1.0
87202.65599638224,678199786.692,24799.79869073669,1.0,15.0,1.0
87355.58399409056,679046347.91,24830.75497854118,0.0,15.0,1.0
87508.51199179888,678275377.103,24802.56281277349,1.0,15.0,1.0
87661.4399895072,679091138.721,24832.392848557938,0.0,15.0,1.0
87814.36798721552,678290506.901,24803.11606559367,1.0,15.0,1.0
87967.29598492384,679080588.056,24832.007041347166,0.0,15.0,1.0
88120.22398263216,678410853.17,24807.516779517417,1.0,15.0,1.0
88273.15198034048,679147932.929,24834.469647980233,0.0,15.0,1.0
91328.25598865747,677332778.241,24768.094706940345,1.0,16.0,0.0
91481.1839863658,678461670.24,24809.37501234318,0.0,16.0,0.0
91634.11198407412,677780551.831,24784.46848810178,1.0,16.0,0.0
91787.03998178244,678723259.519,24818.940573386037,0.0,16.0,0.0
91939.96797949076,677994890.898,24792.306245968215,1.0,16.0,0.0
92092.89597719908,678830777.853,24822.872206941644,0.0,16.0,0.0
92245.82401514053,678127147.407,24797.142482816264,1.0,16.0,0.0
92399.61597919464,678986039.25,24828.549665804938,0.0,16.0,0.0
92552.54397690296,678167746.27,24798.627065455818,1.0,16.0,0.0
92705.47201484442,678992106.582,24828.771530534395,0.0,16.0,0.0
92858.40001255274,678299513.277,24803.44540263581,1.0,16.0,0.0
93011.32801026106,679061575.701,24831.311814681085,0.0,16.0,0.0
93164.25600796938,678353504.685,24805.419711793238,1.0,16.0,0.0
93317.1840056777,679086885.908,24832.23733552426,0.0,16.0,0.0
93470.11200338602,678393488.988,24806.881821756477,1.0,16.0,0.0
93623.04000109434,679190880.895,24836.040130501573,0.0,16.0,0.0
93775.96799880266,678423014.758,24807.961493508898,1.0,16.0,0.0
93928.89599651098,679045131.253,24830.710488924306,0.0,16.0,0.0
96634.9440023303,676774052.589,24747.663730751843,1.0,17.0,0.0
96787.87200003862,677813402.417,24785.669738729783,0.0,17.0,0.0
96941.66400432587,677178742.613,24762.462070893325,1.0,17.0,0.0
97094.59200203419,678048371.288,24794.26186867988,0.0,17.0,0.0
97247.51999974251,677321462.082,24767.68090783474,1.0,17.0,0.0
97400.44799745083,678166913.361,24798.59660839002,0.0,17.0,0.0
97553.37599515915,677449390.343,24772.358873210003,1.0,17.0,0.0
97706.30399286747,678266095.168,24802.22339933813,0.0,17.0,0.0
97859.23199057579,677524378.043,24775.100955854046,1.0,17.0,0.0
98012.15998828411,678320905.689,24804.227661081655,0.0,17.0,0.0
98165.08798599243,677486746.408,24773.7248761343,1.0,17.0,0.0
